output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.36775246011411866,383.51941438164795,305.3391510288514,0.16396912638666225
cap_CoalOldScr_coal-CCS_mod,0.4492286693902292,1283.9620981248945,1006.2728085464034,0.1861326436340607
cap_Gas-CC_Gas-CC-CCS_mod,0.06231987453732668,917.8979967500961,349.8179233163956,0.09820124375869688
cap_Gas-CC_H2-CC,0.14272850197093145,207.53369922998965,107.86614869758347,0.10413074888702388
cap_H2-CC,0.2637143669000511,702.4290377292951,460.4691729912568,0.1137172716230623
cap_H2-CT,0.21780043143512362,1400.3138856415776,810.7477451866994,0.09694715396373067
cap_battery_li,0.7382802946964016,4546.4687325627465,3719.318533640925,0.12856014771076227
cap_coal-ccs_mod,0.5595309248499092,1057.559982025892,841.1945202936405,0.17448240722972916
cap_electrolyzer,0.2695387814581425,1041.4702153649732,628.1787680651037,0.10849483432695371
cap_gas-cc,0.7503559513531614,9458.664128402044,7455.691045698923,0.1248299641510082
cap_gas-cc-ccs_mod,0.45073285612776515,3099.79881805875,2069.7403011341194,0.09966487219825713
cap_gas-ct,0.6273905847209349,7554.162332766079,6055.550660812005,0.12193620793710279
cap_hydUD,0.09028516216310156,1.051425491899712,0.5103116481860633,0.17523758198328532
cap_nuclear,-0.01327937705336657,3.7470097607449397,0.4666682759747787,0.0456141096155074
cap_nuclear-smr,0.019176075482956856,252.70606658281548,85.97055402182893,0.08768063986483816
cap_o-g-s,0.18287448322963773,360.3925435180238,280.0776502567027,0.29400147620185774
cap_pumped-hydro,0.05126867575504446,112.58185598997704,43.48170119413546,0.08321886861277386
cap_upv_2,0.34831942154342266,515.0083526196662,339.8494307199266,0.11075252923538523
cap_upv_3,0.7498743340862128,11787.797866069059,9477.350556944824,0.11243631998522229
cap_upv_4,0.6653462046328396,10551.392034512617,8470.806711583893,0.12479863471280378
cap_upv_5,0.24275500212705192,1506.7919181868879,1110.301580432881,0.17627028792600993
cap_wind-ons_10,0.8490665461214308,11022.688132480167,9203.864961710426,0.09985442665405729
cap_wind-ons_3,0.3039461646345569,725.7719293719509,497.5530573003635,0.10868103165198427
cap_wind-ons_4,-0.01745298494568992,138.95250854451828,30.359739106569904,0.047750002936260576
cap_wind-ons_5,0.7667614021627158,724.0273037152713,593.2735681787216,0.19619156237796648
