year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.770430,7.816360,7.090990,7.734290,8.645590,6.864630,6.613850,7.214630,6.922080
2011,6.976610,7.181610,6.415240,7.187830,7.612680,6.035800,6.021930,6.759040,6.523090
2012,5.125690,4.920950,4.318400,4.836970,5.744140,4.171340,4.086240,4.812690,4.981960
2013,8.068120,6.221770,5.644570,6.217400,6.488060,5.425660,5.311730,6.026710,5.966590
2014,8.769200,6.749790,6.901570,7.398620,7.217680,6.196130,6.141910,6.533250,6.652870
2015,5.664140,3.850320,3.728470,4.428220,5.209640,3.831860,3.709610,4.283490,4.318230
2016,5.148300,3.661070,3.604330,3.500410,4.514280,3.348940,3.097470,3.544380,3.667090
2017,5.355280,4.159690,4.251330,4.469500,4.872570,4.060240,3.814340,4.195250,4.189160
2018,5.881250,4.228360,4.083060,4.334410,4.693190,4.025980,3.784560,4.311700,4.317320
2019,5.476460,3.569320,3.074150,3.352610,4.098980,3.292140,2.850900,3.555690,3.748840
2020,4.894560,2.922260,2.433600,2.854160,3.535610,2.771320,2.372950,3.117010,3.305040
2021,7.947850,5.323930,5.212050,5.658210,6.632820,5.940870,5.441230,6.295940,6.712710
2022,8.928910,6.175170,6.736810,7.627990,8.543690,7.910930,7.360520,7.816440,8.040400
2023,5.182360,3.094090,2.576700,3.021990,3.743500,2.934270,2.512480,3.300290,3.499380
2024,3.942886,2.287270,2.298708,2.621773,3.481087,2.680677,2.210615,2.863694,3.208913
2025,3.545907,2.313296,2.394202,2.708847,3.371045,2.663157,2.218614,2.777358,2.887983
2026,3.424357,2.298251,2.279395,2.664633,3.222955,2.498695,2.059296,2.712186,2.803907
2027,3.179948,2.255369,2.267412,2.702573,3.352517,2.484879,2.033904,2.717369,2.824805
2028,2.963628,2.219732,2.342423,2.822133,3.471617,2.607332,2.178029,2.860942,2.993797
2029,2.897579,2.237025,2.422638,2.905383,3.536583,2.709477,2.279984,2.964342,3.117639
2030,2.761189,2.309547,2.509715,3.080562,3.637365,2.835151,2.440423,3.228207,3.405689
2031,2.747252,2.337410,2.525936,3.122771,3.510499,2.905147,2.544189,3.393098,3.586969
2032,3.035183,2.531026,2.816504,3.501460,3.964278,3.177044,2.843096,3.814344,4.013958
2033,3.119033,2.633990,2.860132,3.516799,3.848393,3.242102,2.926303,3.950235,4.208856
2034,3.235024,2.714677,2.896689,3.576314,3.874689,3.271004,2.959214,4.049577,4.334771
2035,3.332014,2.718911,2.911631,3.632553,3.886527,3.285653,2.990757,4.106940,4.363559
2036,3.345162,2.679176,2.902459,3.651698,3.871522,3.277782,2.995825,4.154849,4.288165
2037,3.331612,2.655793,2.849265,3.584962,3.826073,3.248419,2.955194,4.159271,4.251697
2038,3.345557,2.610942,2.787631,3.559825,3.806650,3.233404,2.903788,4.197432,4.234464
2039,3.217742,2.571926,2.754783,3.507277,3.787173,3.219203,2.895023,4.173839,4.281111
2040,3.172366,2.542018,2.765788,3.599415,3.826042,3.249156,2.954316,4.291714,4.376058
2041,3.339386,2.589555,2.809392,3.717389,3.902796,3.310269,3.031373,4.404143,4.470148
2042,3.391913,2.603526,2.803964,3.731760,3.909537,3.326160,3.068110,4.446998,4.516488
2043,3.330580,2.536290,2.752379,3.703559,3.898544,3.289931,3.063311,4.391260,4.504367
2044,3.113896,2.437677,2.683260,3.646818,3.864220,3.263479,3.049417,4.328261,4.424861
2045,2.985338,2.366950,2.627810,3.651798,3.847422,3.248250,3.060245,4.364906,4.511312
2046,2.984034,2.338613,2.628173,3.720915,3.857837,3.277446,3.101784,4.417610,4.539052
2047,2.934076,2.304000,2.562113,3.699291,4.006942,3.260696,3.061580,4.407011,4.557307
2048,2.892148,2.251554,2.512380,3.689516,4.003499,3.256391,3.065140,4.434324,4.586201
2049,2.865312,2.203854,2.461685,3.655248,3.966560,3.213834,3.041644,4.389663,4.565211
2050,2.790408,2.150464,2.421813,3.591890,3.907777,3.162359,3.010422,4.376517,4.556719
