year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.770430,7.816360,7.090990,7.734290,8.645590,6.864630,6.613850,7.214630,6.922080
2011,6.976610,7.181610,6.415240,7.187830,7.612680,6.035800,6.021930,6.759040,6.523090
2012,5.125690,4.920950,4.318400,4.836970,5.744140,4.171340,4.086240,4.812690,4.981960
2013,8.068120,6.221770,5.644570,6.217400,6.488060,5.425660,5.311730,6.026710,5.966590
2014,8.769200,6.749790,6.901570,7.398620,7.217680,6.196130,6.141910,6.533250,6.652870
2015,5.664140,3.850320,3.728470,4.428220,5.209640,3.831860,3.709610,4.283490,4.318230
2016,5.148300,3.661070,3.604330,3.500410,4.514280,3.348940,3.097470,3.544380,3.667090
2017,5.355280,4.159690,4.251330,4.469500,4.872570,4.060240,3.814340,4.195250,4.189160
2018,5.881250,4.228360,4.083060,4.334410,4.693190,4.025980,3.784560,4.311700,4.317320
2019,5.476460,3.569320,3.074150,3.352610,4.098980,3.292140,2.850900,3.555690,3.748840
2020,4.894560,2.922260,2.433600,2.854160,3.535610,2.771320,2.372950,3.117010,3.305040
2021,7.947850,5.323930,5.212050,5.658210,6.632820,5.940870,5.441230,6.295940,6.712710
2022,8.928910,6.175170,6.736810,7.627990,8.543690,7.910930,7.360520,7.816440,8.040400
2023,5.182360,3.094090,2.576700,3.021990,3.743500,2.934270,2.512480,3.300290,3.499380
2024,3.951021,2.291188,2.306225,2.628691,3.470091,2.671443,2.214949,2.867855,3.213850
2025,4.825856,3.629599,3.757886,4.032818,4.788136,4.158859,3.699224,4.146041,4.247904
2026,4.605783,3.834864,3.800100,4.000161,4.790429,4.182667,3.667104,4.116380,4.119196
2027,4.343827,3.835330,3.930441,4.200141,4.924905,4.337811,3.808350,4.269623,4.225954
2028,4.395217,4.009411,4.168205,4.513605,5.188810,4.686580,4.175693,4.650997,4.694008
2029,4.783993,4.403663,4.620580,5.094242,5.605813,5.149542,4.716477,5.207363,5.210474
2030,5.429995,5.116742,5.483608,6.184416,6.492614,6.110940,5.740700,6.219917,6.208527
2031,6.023727,5.623803,6.032155,6.668324,7.070742,6.622880,6.323299,6.823698,6.887148
2032,6.769484,6.455877,6.900975,7.624558,7.802534,7.392770,7.123114,7.823699,7.795189
2033,7.239462,6.816369,7.243104,7.822190,8.118889,7.728008,7.409045,8.029579,8.010993
2034,7.573184,7.007079,7.448060,7.872682,8.326830,7.892791,7.609113,8.258191,8.196181
2035,7.670228,7.163031,7.551923,7.904687,8.486915,8.054188,7.651300,8.444173,8.278070
2036,7.708939,7.137417,7.728963,8.052999,8.726404,8.253443,7.956063,8.753573,8.491802
2037,7.558604,6.949639,7.568828,7.982419,8.848077,8.212115,8.047225,8.739521,8.407489
2038,7.343988,6.762915,7.392748,7.834982,8.740216,7.899144,7.963167,8.673278,8.322899
2039,7.251116,6.737899,7.297922,7.645207,8.910620,8.110153,8.226623,9.006240,8.591912
2040,7.218706,6.678354,7.382362,7.822319,8.836534,8.071926,8.232173,9.026676,8.661890
2041,7.065958,6.644736,7.322939,7.732145,8.862980,8.334088,8.189538,8.673353,8.644938
2042,6.963392,6.447856,7.199334,7.611486,8.753935,8.141396,8.084666,8.462022,8.381509
2043,6.808531,6.334739,7.084161,7.540718,8.612486,7.972393,7.942930,8.241702,8.252924
2044,6.503371,6.344906,7.090244,7.552183,8.590377,8.179617,8.183352,8.507860,8.446995
2045,6.349429,6.351938,7.115554,7.610549,8.392526,8.105153,8.243489,8.658021,8.574844
2046,6.509525,6.429235,7.327775,7.833263,8.438897,8.147901,8.316871,8.684699,8.631374
2047,6.689818,6.661896,7.564465,8.053114,8.687522,8.513703,8.630199,9.064015,8.964581
2048,6.918985,6.915947,7.853740,8.339838,9.020991,8.746612,9.039744,9.510916,9.287422
2049,7.237922,7.254817,8.156782,8.634782,9.287102,9.029250,9.384081,9.833487,9.528601
2050,7.553951,7.582260,8.458136,8.921481,9.627280,9.348893,9.705161,10.207071,9.821965
